标准答案,题干,选项A,选项B,选项C,选项D,选项E,,,
D,面色晦暗，两颧紫红，口唇轻度发绀，多见于,苦笑面容,伤寒面容,甲亢面容,二尖瓣面容,慢性病面容,,,
B,P-P规则，P-R固定，QRS波间歇性或周期性脱落，其诊断是,二度Ⅰ型传导阻滞,二度Ⅱ型传导阻滞,三度房室传导阻滞,干扰性房室分离,二度Ⅰ型窦房传导阻滞,,,
A,P波规律出现，P-R间期逐渐延长，直至1个P波后1个QRS波群脱落，周而复始，其诊断是,二度Ⅰ型传导阻滞,二度Ⅱ型传导阻滞,三度房室传导阻滞,干扰性房室分离,二度Ⅰ型窦房传导阻滞,,,
A,前间壁心梗心电图改变出现在,V1、V2、V3,V7、V8、V9,V3、V4,Ⅰ、aVL,Ⅱ、Ⅲ、aVF,,,
E,下壁心梗心电图改变出现在,V1、V2、V3,V7、V8、V9,V3、V4,Ⅰ、aVL,Ⅱ、Ⅲ、aVF,,,
B,属DNA病毒的是,甲型肝炎病毒,乙型肝炎病毒,丙型肝炎病毒,丁型肝炎病毒,戊型肝炎病毒,,,
C,转为慢性肝炎比例最高的是,甲型肝炎病毒,乙型肝炎病毒,丙型肝炎病毒,丁型肝炎病毒,戊型肝炎病毒,,,
C,流行性出血热少尿期常发生在,病程的第3～5日,病程的第4～6日,病程的第5～8日,病程的第6～10日,病程的第7～14日,,,
B,流行性出血热低血压休克期常发生在,病程的第3～5日,病程的第4～6日,病程的第5～8日,病程的第6～10日,病程的第7～14日,,,
B,产生外毒素能力最强的志贺菌菌群是,福氏志贺菌,痢疾志贺菌,宋内志贺菌,舒氏志贺菌,鲍氏志贺菌,,,
C,抵抗力最强的志贺菌菌群是,福氏志贺菌,痢疾志贺菌,宋内志贺菌,舒氏志贺菌,鲍氏志贺菌,,,
B,符合左心功能不全的体征是,水冲脉,交替脉,重搏脉,奇脉,无脉,,,
A,符合甲状腺功能亢进症的体征是,水冲脉,交替脉,重搏脉,奇脉,无脉,,,
A,候首面的是,前额,眉间,鼻,颊侧,耳门,,,
E,龙胆泻肝汤主治,脾胃不和证,肝火犯胃证,肝郁血虚胁痛证,肝郁阴虚胁痛证,肝胆实火上炎证,,,
B,左金丸主治,脾胃不和证,肝火犯胃证,肝郁血虚胁痛证,肝郁阴虚胁痛证,肝胆实火上炎证,,,
D,咳嗽气喘，咽喉不利，咯痰不爽，口干咽燥，手足心热，舌红少苔，脉虚数，应选用,桑杏汤,泻白散,止嗽散,麦门冬汤,桑菊饮,,,
D,治疗气虚发热的最佳选方是,当归建中汤,当归补血汤,黄芪建中汤,补中益气汤,当归六黄汤,,,
B,治疗血虚阳浮发热的最佳选方是,当归建中汤,当归补血汤,黄芪建中汤,补中益气汤,当归六黄汤,,,
B,上述哪项是清燥救肺汤中所用的养阴药,白芍、阿胶、麦冬、当归,胡麻仁、阿胶、麦冬,胡麻仁、当归、生地,生地、玄参、麦冬、白芍,北沙参、麦冬、生地,,,
E,一贯煎中养阴药为,白芍、阿胶、麦冬、当归,胡麻仁、阿胶、麦冬,胡麻仁、当归、生地,生地、玄参、麦冬、白芍,北沙参、麦冬、生地,,,
D,肌力分级分为6级，3级的表现为,无肢体活动，也无肌肉收缩，为完全性瘫痪,可见肌肉收缩，但无肢体活动,肢体能在床面上做水平移动，但不能抬起,肢体能抬离床面，但不能抵抗阻力,能做抵抗阻力的动作，但较正常差,,,
C,肌力分级分为6级，2级的表现为,无肢体活动，也无肌肉收缩，为完全性瘫痪,可见肌肉收缩，但无肢体活动,肢体能在床面上做水平移动，但不能抬起,肢体能抬离床面，但不能抵抗阻力,能做抵抗阻力的动作，但较正常差,,,
D,喘证患者，女，43岁。与人吵架后突发上气而喘，咽中如窒，但喉中痰声不著，气憋，心悸，舌苔薄白，脉弦。其证候是,风寒束肺,风热袭肺,痰浊壅肺,肺气郁闭,肝火犯肺,,,
D,患者，男，30岁。昨日起胃脘胀痛，饮食不下，今天见呕吐频频。治疗应首选,内庭,丰隆,太冲,内关,合谷,,,
C,患者，男，55岁。因天气骤冷，突发心前区疼痛，胸痛彻背，面色青白，痛则肢冷，舌苔白，脉紧。诊断为胸痹。其证候是,痰浊痹阻,心肾阳衰,寒凝心脉,气滞血瘀,气阴两虚,,,
B,女，48岁。近日吞咽梗阻，胸膈痞闷，情志舒畅时可稍减轻，口干咽燥，舌质偏红，苔薄腻，脉弦。诊断为,梅核气,噎膈,郁证,反胃,呃逆,,,
B,患者，男，52岁。心烦不寐，心悸不宁，头晕耳鸣，健忘，腰酸遗精，手足心热，咽干口燥，舌红少津，脉细数。其病理变化为,水气凌心,心肾不交,肺脾气虚,心脾两虚,心肝血虚,,,
C,患者，女，58岁。患风湿痹痛多年，现腰膝酸痛，筋骨痿软无力，脉弦细。用药宜首选,桑枝,秦艽,五加皮,威灵仙,独活,,,
A,患者，女，30岁。骨蒸盗汗，心烦易怒，消渴多食，遗精尿赤，足膝热痛，舌红少苔，脉细数。治宜选用,大补阴丸,清胃散,六味地黄丸,龙胆泻肝汤,当归六黄汤,,,
B,患者，男，42岁。腹大胀满，按之如囊裹水，甚则颜面微浮，下肢水肿，脘腹痞胀，得热则舒，精神困倦，怯寒懒动，小便少，大便溏，舌苔白腻，脉缓。其治疗首选,柴胡疏肝散合胃苓汤,实脾饮,中满分消丸合茵陈蒿汤,调营饮,附子理苓汤,,,
C,患者，女，30岁。经血淋沥不净30天，色淡质稀，面色萎黄，神疲肢倦，舌淡，苔白，脉沉弱。治疗除取主穴外，还应选用的是,中极、血海,然谷、太溪,百会、脾俞,血海、膈俞,隐白、地机,,,
B,患者，女，34岁。右面部疼痛3年，间断发作，呈闪电样剧痛，痛时面部抽搐，伴流泪，有灼热感，舌红，苔薄黄，脉浮数。治疗除取主穴外，还应配用,丝竹空、阳白、外关,曲池、外关,风池、列缺,行间、内庭,风池、太溪,,,
B,肺胀的病因主要是,情志失调,久病肺虚,饮食失调,肺气上逆,以上都不是,,,
A,哮病发作时的病理性质在于,痰阻气闭,肺失宣降,伏痰,肺气不清,肺气虚寒,,,
B,患者平时情绪急躁，心烦失眠，咳痰不爽，口苦而干，便秘。发作时昏仆，抽搐吐涎，两目上视，如做猪羊叫声，舌红苔黄腻，脉弦滑数。其治法是,涤痰息风，开窍定痫,清肝泻火，化痰开窍,豁痰开窍，清心定痫,理气解郁，化痰开窍,化痰息风，安神定志,,,
C,患者，女，30岁。平素形体消瘦，性情急躁，现胁痛口苦，纳呆泛恶，目黄溲赤，苔黄而腻，脉弦数。此治法为,疏肝理气,祛瘀通络,清热利湿,养阴柔肝,养血柔肝,,,
A,女，62岁。身肿1个月，以腰以下为甚，脘腹胀闷，纳呆便溏，面色萎黄，神倦，肢冷畏寒，尿少，舌淡苔白腻，脉沉弱。应辨证为,脾阳虚衰,水湿浸淫,脾气虚弱，水湿不运,肾气虚衰,脾肾两虚,,,
C,患者，女，60岁。咳嗽数年，痰黏量多，伴见食欲不振，舌苔白腻，脉滑。为加强化痰作用，应首选,肺俞,列缺,丰隆,合谷,足三里,,,
C,患者胁肋部疱疹呈带状排列，疹色鲜红，灼热疼痛，口苦，心烦，舌红，脉弦数。治疗除主穴外，还应选用的配穴是,劳宫、神门、心俞,少府、少冲、曲池,行间、大敦、阳陵泉,内庭、隐白、血海,侠溪、照海、阴陵泉,,,
B,"女，49岁。因患""急性肾绞痛""半小时，针灸治疗时选",足三里、合谷、三阴交、阴陵泉,肾俞、三阴交、三焦俞、阴陵泉,肾俞、足三里、中渚、三阴交,三阴交、曲池、昆仑、肾俞,肾俞、阳陵泉、日月、三阴交,,,
C,某人身体强壮、胖瘦适中，饮食无偏嗜，二便通调，面色红润.性格开朗随和，精力充沛，举动灵活，睡眠良好。属于,偏阳质,偏阴质,阴阳平和质,阳亢质,瘀血质,,,
B,患者，女，30岁。新婚第3天，出现发热，腰痛，尿频尿急，尿道灼痛，小便黄少，舌红苔黄腻，脉数。其证候是,小肠实热证,膀胱湿热证,热结膀胱证,肝胆湿热证,脾胃湿热证,,,
D,患者，女，38岁。胁肋胀痛，脘腹灼热疼痛，口苦，舌质红，脉弦数。用药宜首选,青皮,香附,乌药,川楝子,薤白,,,
B,患者身灼肢温，汗热味咸而黏、如珠如油，虚烦躁扰，舌红而干，脉疾无力。其证型是,亡阳,亡阴,阴虚,里热,以上均非,,,
B,患者，女，29岁。妊娠3月余，不慎跌跤，小腹刺痛，阴部渗红。宜首选的药物是,白术,续断,桑寄生,菟丝子,杜仲,,,
D,患者，男，18岁。咳嗽，咳黄稠痰，咳时汗出，口渴身热，恶风肢楚，舌苔薄黄，脉浮数。治法宜采用,疏风散寒，宣肺止咳,健脾燥湿，化痰止咳,清肺化痰，肃肺降气,疏风清热，宣肺止咳,疏风清热，润燥止咳,,,
C,患者，男，57岁。因失眠多梦2周就诊。现夜难入眠，兼头重如裹，胸脘满闷，心烦口苦，头晕目眩，痰多质黏，大便不爽，舌红苔黄腻，脉滑。其治法为,疏肝泻火，镇心安神,补养心脾，以生气血,清化痰热，和中安神,化痰理气，宁心安神,滋阴降火，养心安神,,,
D,患者，男，50岁。眩晕，头重如蒙，胸闷恶心，食少多寐，舌苔白腻，脉滑。治疗应首选,黄连温胆汤,天麻钩藤饮,黄连上清丸,半夏白术天麻汤,半夏厚朴汤,,,
E,患者，男，40岁。口干唇燥，口渴多饮，尿频量多，混浊如脂膏，时或烦躁，遗精，舌质红，脉象细数。治疗应首选,右归丸,玉女煎,消渴方,白虎加人参汤,知柏地黄丸,,,
D,患者，女，31岁。腰部、臀部、大腿后侧、小腿后外侧及足外侧呈放射样疼痛，疼痛以下肢后侧为主。治疗应选取的主穴是,腰夹脊、后溪、肾俞、命门,腰夹脊、委中、大肠俞、次髎,腰夹脊、环跳、阳陵泉、悬钟、丘墟,腰夹脊、秩边、委中、承山、昆仑,腰夹脊、环跳、肾俞、申脉,,,
D,患者，男，28岁，农民。患者发热恶寒，咳嗽，咯白黏痰，痰量由少渐多，胸痛剧烈，呼吸不利，苔薄黄，脉浮滑数。其诊断是,风热咳嗽,痰热咳嗽,肺痈成痈期,肺痈初期,肺痈恢复期,,,
E,消渴“下消”的突出症状是,口渴多饮,多食易饥,腰膝酸软,大便干燥,尿频量多,,,
E,痰饮饮留胃肠证，首选,黄芩温胆汤,大半夏汤,小半夏加茯苓汤,木防己汤,甘遂半夏汤,,,
A,治疗耳鸣虚证，应选用以下哪组经脉为主,足少阴经,足少阳经,手少阴经,足太阳经,手少阳经,,,
C,悬钟位于外踝尖上,1寸,2寸,3寸,4寸,5寸,,,
B,针灸治疗近视的主穴为,风池、悬钟、太冲、光明,睛明、承泣、风池、光明,风府、太冲、合谷、睛明,风府、太溪、光明、承泣,太阳、太溪、合谷、太冲,,,
C,男，24岁。病发热已五六天，热减退，突然出现肢体软弱无力，步履艰难，心烦口渴，咳呛不爽，咽喉干燥，小便黄少，大便干燥，舌质红苔黄，脉细数。证属,初期肺痈,风热犯肺型喘证,肺热津伤型痿证,虚热型肺痿,燥热咳嗽,,,
C,患者丁某，男，30岁。劳累过后，加之饮食不慎，突然出现身目俱黄，其色如金，高热口渴，小便深黄，腹胀胁痛，烦躁不安，随之神昏谵语，舌质红绛，苔黄燥，脉弦滑数。应诊断为,湿热并重型黄疸,胆道阻滞型黄疸,热毒炽盛型黄疸,湿热蕴蒸，热重于湿型黄疸,湿热蕴蒸，湿重于热型黄疸,,,
B,患者，男，40岁。1年来皮肤常见青紫点，2天前饮酒后出现双下肢青紫斑块，心烦口渴，手足心热，盗汗，形体消瘦，舌红少苔，脉细数。治疗应首选,清胃散,茜根散,归脾汤,玉女煎,地榆散,,,
D,患者，男，68岁。患消渴病20余年，现多食、多饮诸症不明显，唯小便频数，饮一溲一，面色黧黑，腰膝酸软，形寒怕冷，舌淡苔白，脉沉无力。治疗应首选,消渴方,玉女煎,左归饮,金匮肾气丸,六味地黄丸,,,
B,患者，男，42岁。哮喘反复发作5年，本次发作喘促不能平卧，咳痰清稀，无汗，头痛，脉浮紧。治疗应首选,膻中、太渊、太溪、肾俞,膻中、列缺、肺俞、尺泽,肺俞、风门、丰隆、太渊,天突、定喘、尺泽、膻中,膏肓、肾俞、太溪、丰隆,,,
A,患儿，女，8岁。遗尿3个月余，每隔3～5夜1次，面色萎黄，纳食不多，舌淡苔薄，脉细弱。治疗应首选,中极、关元、三阴交、膀胱俞,中极、天枢、足三里、阴陵泉、太冲,关元、太溪、三阴交、至阴,气海、太冲、行间、昆仑、曲池,曲骨、内庭、太溪、肾俞、气海,,,
A,患者，男，69岁。听力下降，耳鸣如蝉，时作时止，遇劳则剧，按之减轻，伴腰膝酸软，乏力，舌淡红，脉虚细。治疗除主穴外，还应选用的配穴是,肾俞、气海,肝俞、太冲,脾俞、足三里,心俞、神门,肺俞、命门,,,
B,患儿，8岁。因恶寒发热、咳嗽就诊，脉搏98次/分，轻按能及。其脉象是,常脉,浮数,浮迟,沉数,沉迟,,,
D,患者，女，28岁。妊娠8周，下列药物除哪组外，均不宜服用,轻粉、甘遂、大戟,三棱、莪术、水蛭,斑蝥、麝香、虻虫,当归、阿胶、丹参,附子、干姜、肉桂,,,
D,患者，女，28岁。因流产而失血过多，导致月经不调，久不怀孕。其病在何经,阴跷脉、阳跷脉,阴维脉、阳维脉,督脉、任脉,冲脉、任脉,阴跷脉、阴维脉,,,
B,患者，男，21岁。腹中拘急疼痛，得温按则痛减，神疲乏力，虚怯少气，舌淡苔白，脉细弦而缓。治宜选用,大承气汤,小建中汤,木香顺气散,少腹逐瘀汤,保和丸,,,
A,患者，男，52岁。既往有“冠心病”病史，正值正月发病，症见心痛如绞，手足不温，冷汗自出，心悸气短，舌薄白，脉沉紧。其治法应为,辛温散寒，宣通心阳,疏调气机，和血舒脉,通阳泄浊，豁痰开窍,活血化瘀，通脉止痛,温振心阳，补益心气,,,
D,患者，男，22岁。3日来头痛如裹，痛无休止，肢体困重，苔白腻，脉濡。针灸治疗除百会、太阳、风池、合谷外，还应取,风门、列缺,曲池、大椎,丰隆、中脘,阴陵泉、头维,太溪、太冲,,,
C,治疗脾胃虚弱泄泻，应首选,保和丸,香砂六君子汤,参苓白术散,理中丸,补中益气汤,,,
E,下列不属于腹痛常见病因的是,阳气素虚,跌仆损伤,情志失调,外感时邪,外感风燥,,,
C,鼻衄热邪犯肺证的治法为,凉血止血，清胃泻火,凉血止血，滋阴降火,凉血止血，清泄肺热,凉血止血，清肝泻火,凉血止血，清化湿热,,,
D,三角灸穴的主治病证是,哮喘、咳嗽,心悸、失眠,虚劳、腰痛,疝气、奔豚,小儿遗尿,,,
A,常用于治疗皮肤瘙痒等皮肤病证的腧穴是,膈俞,脾俞,肾俞,风门,中府,,,
D,患者，女，38岁。因咽痒咳嗽，痰中带血3天余。伴有咽干鼻燥，身微热，舌红少津液，苔薄黄，脉数。方剂宜选用,桑菊饮,银翘散,杏苏散,桑杏汤,百合固金汤,,,
C,女，46岁。近日洗头后渐出现头痛如裹，肢体困重，纳呆胸闷，小便不利，大便溏泻，苔白腻，脉濡。治则宜,疏散风寒,疏风清热,祛风胜湿,化痰降逆,平肝潜阳,,,
D,女，61岁。中风后经治半年，左侧肢体偏瘫好转，现遗留音喑失语，心悸，气短及腰膝酸软。方药宜选,左归丸,右归丸,镇肝熄风汤,地黄饮子,六味地黄丸,,,
E,女，44岁。心悸失眠，烦躁，潮热，盗汗，面色潮红，舌红少津，脉细数。治法以下列何者为宜,养血安神,补气养心,滋补心肾,益气补血，健脾养心,滋阴养心,,,
A,女，低热3月余，时觉身热心烦，热势随情绪好坏而起伏，平素急躁易怒，胸胁胀闷，两乳胀痛，月经不调，口苦，舌略红，苔薄黄，脉弦略数。中医辨证为,气郁发热,气滞血瘀,血瘀发热,阴虚火旺,郁热伤阴,,,
A,患者外感风寒不愈，现症见身热不退，咽红肿痛，大便于结，脉略数。其舌苔变化是,由白转黄,由腻转松,由厚转薄,由腐转剥,由燥转润,,,
C,患者，男，34岁。昨日突然仆倒，不省人事，两目上视，四肢抽搐，口吐白沫。现心烦失眠，口苦咽干，便秘，舌红，苔黄腻，脉弦滑而数。宜选用,定痫丸,龙胆泻肝汤合导痰汤,龙胆泻肝汤合涤痰汤,当归龙荟丸,黄连解毒汤,,,
C,患者，男，45岁。腹大坚满，脘腹胀急，烦热口苦，渴不欲饮，小便短赤，便溏不爽，舌红苔黄腻，脉滑数。其证候是,气滞湿阻,水湿困脾,水热蕴结,瘀结水留,阳虚水盛,,,
E,患者肘关节肌肉酸痛重着不移2个月，伴有肿胀，肌肤麻木不仁，阴雨天加重，苔白腻，脉濡缓。针灸治疗除主穴外，应加取,膈俞、血海,曲池、尺泽,曲池、大椎,肾俞、关元,足三里、阴陵泉,,,
C,患者，女，30岁。颈项强痛，活动受限，头向患侧倾斜，项背牵拉痛，颈项部压痛明显，兼见恶风畏寒。治疗除取主穴外，还应选用的穴位是,内关、外关,肩井、后溪,风池、合谷,血海、膈俞,肩髃、天宗,,,
E,诸多因素均能引起咳嗽，下列不属于咳嗽病因的是,外邪袭肺,脾湿犯肺,肝火犯肺,肺脏虚损,肾气亏虚,,,
C,肺痈一般分为四期论治，下列不属四期之列的是,初期,成痈期,消散期,溃脓期,恢复期,,,
D,下列关于十枣汤的服用方法，错误的是,剂量均从小量递增,注意顾护胃气，中病即止,一般连服3～5日,药后出现呕吐、腹痛可续服,必要时停两三日再服,,,
C,治疗阴阳两虚型肺痨的主方为,月华丸,百合固金汤,补天大造丸,保真汤,生脉散,,,
B,针灸治疗遗尿的主穴是,关元、气海、肾俞、三阴交,关元、中极、膀胱俞、三阴交,肾俞、志室、气海、三阴交,关元、中极、三焦俞、三阴交,肝俞、肾俞、太冲、太溪,,,
A,治疗瘾疹的主穴是,曲池、合谷、血海、膈俞、三阴交,曲池、太冲、大椎、风池、中脘,大椎、太冲、血海、内庭、三阴交,血海、内庭、气海、天枢、足三里,外关、风池、大椎、膈俞、三阴交,,,
A,既可治疗肺系实热证，又可治疗昏迷、癫狂的穴位是,少商,鱼际,尺泽,太渊,孔最,,,
B,患者赵某，男，24岁，身热，微恶风，头胀痛，汗出不畅，鼻塞涕黄，咳嗽痰黏，咽喉肿痛，口渴喜饮，舌尖红，苔薄黄，脉浮数者，治法宜,辛温解表,辛凉解表,清暑祛湿,益气解表,滋阴解表,,,
A,患者反复心悸半年，加重1天。现症：心烦少寐，头晕目眩，手足心热，耳鸣腰酸，舌质红，少苔，脉细数。其中医治法是,滋阴清火，养心安神,益气养阴，养心安神,清热化痰，宁心安神,补血养心，益气安神,镇惊安志，养心安神,,,
B,患者，男，20岁。胃痛暴作，疼痛较剧，喜热敷，口不渴，舌苔薄白，脉弦紧。治疗应首选,理中丸,良附丸,藿香正气散,人参健脾丸,黄芪建中汤,,,
C,患者，男，患肝病多年，近1周出现腹大，按之不坚，胁下胀满，时有疼痛，纳食欠佳，小便短少，嗳气不爽，食后作胀，舌苔白腻，脉弦。此属何病证,水湿浸渍型水肿,寒湿困脾型臌胀,气滞湿阻型臌胀,肝郁气滞型臌胀,肝气郁结型胁痛,,,
B,患者久痢不愈，下痢稀薄，带有白冻，滑脱不禁，腹痛隐隐，口淡不渴，食少神疲，四肢不温，舌淡苔薄白，脉细弱。治疗应首选,连理汤合参苓白术散,桃花汤合真人养脏汤,良附丸合温脾汤,芍药汤合四君子汤,驻车丸合温脾汤,,,
A,某患者平素体虚，近日劳累后出现肢体萎软无力，且逐渐加重，食少，便溏，腹胀，面浮而色不华，气短，神疲乏力，苔薄白，脉细。此时治法宜,补脾益气，健运升清,清热利湿，通利筋脉,补益肝肾，滋阴清热,清热润燥，养肺生津,祛风散寒，燥湿和营,,,
B,患者，男，60岁。3天前受凉，突然恶寒发热，无汗，咳嗽，夜间加剧，痰稀色白，舌苔薄白腻，脉浮紧。其证候是,寒邪客肺证,风寒犯肺证,寒痰阻肺证,风邪袭卫证,饮邪停肺证,,,
C,患者，男，25岁。症见自汗，多尿，滑精。这是因气的何种作用失常所致,推动,温煦,固摄,防御,气化,,,
E,患者，女，35岁。孕5产2流3，近来腰膝无力，牙齿摇动欲脱，记忆力明显减退，白带清稀，咳嗽则小便失禁，舌淡，脉沉细。临床辨证为,肾精不足,肾阳虚,肝肾阴虚,心脾两虚,肾气不固,,,
C,患者，男，50岁。患慢性支气管炎15年。近日因受寒，使咳喘加重，并见胸闷痰多，痰稀白，易咳出，肢冷，舌淡苔白滑，脉滑。其证候是,寒痰阻肺证,风寒犯肺证,寒饮停肺证,饮停胸胁证,肺气虚证,,,
C,患儿，男，9岁。自觉发热轻微，遇风则冷，自汗，脉浮缓。应诊断为,风寒表证,风热表证,伤风表证,伤湿表证,伤暑证,,,
B,患者，女，37岁。小便频数，尿如米泔色，心神恍惚，健忘神疲，舌淡苔白，脉细弱。治宜选用,金锁固精丸,桑螵蛸散,济生肾气丸,金匮肾气丸,六味地黄丸,,,
D,患儿，3岁。高热神昏，痉厥抽搐，尿赤便秘，舌红绛苔干黄，脉数有力。治宜选用,安宫牛黄丸,至宝丹,苏合香丸,紫雪,牛黄清心丸,,,
D,患者，男，25岁。肢体关节疼痛较剧，痛有定处，得热痛减，遇寒痛增，疼痛局部皮色不红，触之不热，舌苔薄白，脉弦紧。治疗应首选,独活寄生汤,蠲痹汤,薏苡仁汤,乌头汤,白虎加桂枝汤,,,
B,患者，男，75岁。反复咳喘20余年。胸部膨满，喘息气粗，烦躁，目胀睛突，痰黄，黏稠难咳，身热微恶寒，有汗不多，口渴欲饮，溲赤，便干，舌边尖红，苔黄腻，脉滑数。其治疗应首选的方剂是,苏子降气汤,越婢加半夏汤,三子养亲汤,二陈平胃散,清金化痰汤,,,
E,患者，男，40岁。平素性情急躁，近日因工作压力大，突然头痛，两目怒视，面红耳赤，突然狂乱无知，逾垣上屋，不避亲疏，不食不眠，舌红绛，苔黄腻，脉弦大滑数。治疗宜首选,礞石滚痰丸,涤痰汤,黄连温胆汤,龙胆泻肝汤,生铁落饮,,,
B,患者，女，26岁。症见腹内结块，或左或右，走窜不定，胸脘满闷，嗳气频频。应诊断为,痞满,积聚,虫积,食积,鼓胀,,,
A,患者，女，36岁。头痛时作，痛连项背，遇风尤甚，恶风寒，肢体酸楚，口不渴，舌苔薄白，脉浮。治疗应首选,川芎茶调散,芎芷石膏汤,羌活胜湿汤,天麻钩藤饮,半夏白术天麻汤,,,
A,患者，男，20岁。因暴饮暴食诱发腹痛，脘腹胀满，按之不舒，嗳腐吞酸，大便夹有不消化食物，苔厚腻，脉滑实。中医辨证为,饮食积滞,气滞食阻,寒积食阻,热结食滞,食滞痰阻,,,
A,患者，男，20岁。左踝部扭伤疼痛肿胀，活动不利。治疗应首选,申脉、解溪、阿是穴、丘墟,悬钟、照海、丘墟、三阴交,太溪、昆仑、阳陵泉、解溪,太冲、太溪、照海、悬钟,昆仑、悬钟、阴陵泉、申脉,,,
E,患者，女，62岁。腰部隐隐作痛2年，下肢酸软乏力，腰冷，脉细。治疗除选取主穴外，应加用的腧穴是,命门、腰阳关,膈俞、次髂,申脉、腰夹脊,后溪、腰夹脊,肾俞、太溪,,,
E,"""其在皮者，汗而发之""出自下列何书",《仁斋直指方》,《伤寒论》,《诸病源候论》,《丹溪心法》,《素问》,,,
A,胃痛主要与哪些脏腑有关,胃、肝、脾,胃、脾、肾,胃、肝、心,胃、肝、肾,胃、心、肾,,,
B,心悸心血不足证的选方为,天王补心汤,归脾汤,朱砂安神丸,苓桂术甘汤,安神定志丸,,,
C,肢体关节重着、酸痛、痛有定处，手足沉重，肌肤麻木不仁者，可诊断为,尪痹,痛痹,着痹,行痹,热痹,,,
E,胸痹总属本虚标实，下列哪项除外均为常见标实,气滞,痰浊,血瘀,阴寒,火邪,,,
C,具有截疟作用的中药是,百部、槟榔,使君子、南瓜子,常山、青蒿,乌梅、南瓜子,丹参、苦参,,,
A,阳池与外关均能治疗的疾病是,耳聋,瘰疬,腕痛,热病,消渴,,,
D,捻转补泻法中，补法的操作手法是,捻转角度小，用力轻，频率快,捻转角度小，用力重，频率快,捻转角度大，用力轻，频率快,捻转角度小，用力轻，频率慢,捻转角度大，用力重，频率慢,,,
B,拔罐时若需留罐，留罐的时间一般为,5～10分钟,10～15分钟,15～20分钟,20～25分钟,25～30分钟,,,
B,患者咳嗽，咳痰色黄黏稠，咳之不爽，伴鼻流黄涕，汗出恶风，舌苔薄黄，脉浮数。治疗应首选,杏苏散,桑菊饮,止嗽散,二陈汤,清金化痰汤,,,
C,下列对于胸痹的主要病机阐述正确的是,阳气虚衰,气滞血瘀,心脉痹阻,寒凝气滞,痰瘀交阻,,,
A,足太阴脾经的终止穴是,大包,章门,隐白,大敦,厉兑,,,
A,下列有关提插法的叙述，错误的是,频率应较快，每分钟100次左右,保持针身垂直,将针刺入腧穴一定深度后，施以上提下插的操作,幅度不宜过大，一般以3～5分为宜,指力一定要均匀一致,,,
E,经络的生理功能,抗御病邪,营养全身,联系脏腑,沟通内外,以上均是,,,
D,除下列哪项外均是三仁汤的药物组成,滑石,白蔻仁,薏苡仁,郁李仁,杏仁,,,
A,患者，女，45岁。头痛隐隐，缠绵不休，时时昏晕，心悸失眠，面色少华，神疲乏力，遇劳加重，舌质淡，苔薄白，脉细弱。其治法是,养血滋阴，和络止痛,疏散风寒止痛,养阴补肾，填精生髓,疏风清热和络,益气养血，化瘀通络,,,
C,善于治疗遗尿、癃闭等泌尿系病证的腧穴是,下脘,建里,中极,气海,膻中,,,
D,保健灸常用的腧穴是,下脘,建里,中极,气海,膻中,,,
D,真心痛正虚阳脱证，若出现阴竭阳亡，可在四逆加人参汤基础上加用,苏合香丸,真武汤,保元汤,生脉散,当归四逆汤,,,
A,真心痛寒凝心脉证，若痛剧者，即刻给予,苏合香丸,真武汤,保元汤,生脉散,当归四逆汤,,,
B,鼓胀水湿困脾证可见,腹大按之不坚，胁下胀满或痛，纳食减少,腹大胀满，按之如囊裹水，脘腹痞胀，大便溏,脘腹坚满，青筋显露，胁下癥结痛如针刺，口干不欲饮,腹大胀满，入暮尤甚，面色萎黄或（白光）白，肢冷水肿,腹大坚满，胁腹疼痛拒按，烦热口苦，渴不欲饮,,,
C,鼓胀瘀结水留证可见,腹大按之不坚，胁下胀满或痛，纳食减少,腹大胀满，按之如囊裹水，脘腹痞胀，大便溏,脘腹坚满，青筋显露，胁下癥结痛如针刺，口干不欲饮,腹大胀满，入暮尤甚，面色萎黄或（白光）白，肢冷水肿,腹大坚满，胁腹疼痛拒按，烦热口苦，渴不欲饮,,,
A,狂证属于痰火扰神者，治疗应首选,生铁落饮,癫狂梦醒汤,朱砂安神丸,丹栀逍遥散,柴胡疏肝散,,,
D,郁证属于肝郁化火者，治疗应首选,生铁落饮,癫狂梦醒汤,朱砂安神丸,丹栀逍遥散,柴胡疏肝散,,,
C,治疗疝气、阴缩、阴中痛、癫痫，应选用的腧穴是,期门,曲泉,大敦,隐白,太白,,,
B,治疗阴痒、遗精、小便不利、下肢痿痹，应选用的腧穴是,期门,曲泉,大敦,隐白,太白,,,
A,痫病的表现为,突然仆倒，昏不知人，口吐涎沫，两目上视，四肢抽搐，醒后头昏乏力,突然仆倒，昏不知人，呼吸气粗，四肢厥冷，移时苏醒，醒后如常人,项背强直，角弓反张，四肢抽搐，或见昏迷,狂乱无知，喧扰不宁，躁妄打骂，不食不眠,精神抑郁，沉默痴呆，语无伦次，喜怒无常,,,
E,癫证的表现为,突然仆倒，昏不知人，口吐涎沫，两目上视，四肢抽搐，醒后头昏乏力,突然仆倒，昏不知人，呼吸气粗，四肢厥冷，移时苏醒，醒后如常人,项背强直，角弓反张，四肢抽搐，或见昏迷,狂乱无知，喧扰不宁，躁妄打骂，不食不眠,精神抑郁，沉默痴呆，语无伦次，喜怒无常,,,
