学科,题干,标准答案,选项A,选项B,选项C,选项D,选项E
中医外科,外科疾病发于多血少气之经者，治疗时应注重,A,破血、补托,行气、滋养,行气、活血,温阳、散寒,清热、除湿
中医外科,外科疾病发于多血多气之经者，治疗时应注重,C,破血、补托,行气、滋养,行气、活血,温阳、散寒,清热、除湿
中医外科,发病急骤，漫肿宣浮的是,C,热肿,寒肿,风肿,湿肿,痰肿
中医外科,皮肉重垂胀急，深按凹陷的是,D,热肿,寒肿,风肿,湿肿,痰肿
中医外科,初起隐痛，胀痛，皮色不变或暗紫的是,E,气痛,湿痛,痰痛,化脓痛,瘀血痛
中医外科,痛势急胀，无止时，如同鸡啄的是,D,气痛,湿痛,痰痛,化脓痛,瘀血痛
中医外科,脓液绿黑稀薄者为,E,气血充足,气火有余,血虚,血络受伤,蓄毒日久，损伤筋骨
中医外科,脓液黄白稠厚者为,A,气血充足,气火有余,血虚,血络受伤,蓄毒日久，损伤筋骨
中医外科,阳证肿疡的首选外用药物是,C,冲和膏,回阳玉龙膏,玉露膏,生肌玉红膏,疯油膏
中医外科,对升丹过敏者，提脓祛腐时宜选用的外用药是,D,红灵丹,八宝丹,平胬丹,黑虎丹,九一丹
中医外科,下列各项中属于提脓祛腐药的是,B,金黄散,八二丹,八宝丹,红灵丹,白降丹
中医外科,具有腐蚀性的膏药是,C,千捶膏,太乙膏,咬头膏,阳和解凝膏,红油膏
中医外科,下列各项中不属清热法适应证的是,C,热毒内传之走黄内陷,药物性皮炎皮损色红灼热,流痰初起，骨骼隐痛，漫肿不显者,流痰后期，阴虚火旺，虚热不退者,局部红、肿、热、痛
中医外科,适用于一切确已成脓者的是,B,砭镰法,切开法,挑治法,挂线法,结扎法
中医外科,手指关节处脓肿的切口选择应,D,越过关节切开,放射状切开,自然纹理切开,避免越过关节,以脓肿为中心，放射状切开
中医外科,附骨疽脓腔较深、脓液不易畅流者宜采用,D,药线引流,垫棉法,扩创引流,导管引流,以上皆非
中医外科,益气托毒法的常用方剂是,D,透脓散,仙方活命饮,黄连解毒汤,托里消毒散,清肝解郁汤
中医外科,温阳托毒法的代表方剂是,D,右归丸,托里消毒散,金匮肾气丸,神功内托散,四君子汤
中医外科,肿疡毒势方盛，正气已虚，不能托毒外出者，内治方药宜选用,D,透脓散,仙方活命饮,黄连解毒汤,托里消毒散,清肝解郁汤
中医外科,太乙膏的功效是,D,清热消肿，散瘀化痰,活血祛腐，解毒止痛,消肿止痛，提脓祛腐,消肿清火，解毒生肌,温经和阳，祛风散寒
中医外科,下列哪种药物为提脓祛腐药,A,九一丹,红灵丹,八宝丹,白降丹,以上都不是
中医外科,性偏寒凉，能消肿、解毒、提脓、祛腐、止痛的药物是,C,咬头膏,金黄膏,千捶膏,冲和膏,以上都不是
中医外科,疮疡的半阴半阳证，外用药物宜选用,A,冲和膏,太乙膏,阳和解凝膏,咬头膏,以上都不是
中医外科,阳证疮疡外用药物宜首选,C,红油膏,冲和膏,金黄膏,疯油膏,以上都不是
中医外科,阴证疮疡外敷药物宜首选,B,冲和膏,阳和解凝膏,太乙膏,疯油膏,以上都不是
中医外科,具有腐蚀作用的药物是,E,九黄丹,八宝丹,五五丹,红灵丹,以上都不是
中医外科,挂线法常用于治疗,D,内痔,脱肛,瘰疬,肛漏,以上都不是
中医外科,适用于急性阳证疮疡的是,A,砭镰法,切开法,挑治法,挂线法,结扎法
中医外科,适用于一切确已成脓者的是,B,砭镰法,切开法,挑治法,挂线法,结扎法
中医外科,具有提脓祛腐作用的药物是,B,八宝丹,升丹,红灵丹,小金丹,白降丹
中医外科,具有腐蚀作用的药物是,E,八宝丹,升丹,红灵丹,小金丹,白降丹
中医外科,溃疡腐肉脱而未尽，新肉不生，久不收口者可选用,A,月白珍珠散,青黛散,桂麝散,八宝丹,回阳玉龙散
中医外科,溃疡腐肉难脱，肉芽暗红，可选用,E,月白珍珠散,青黛散,桂麝散,八宝丹,回阳玉龙散
中医外科,金黄散是,A,箍围药,消散药,腐蚀药,平胬药,提脓祛腐药
中医外科,红灵丹是,B,箍围药,消散药,腐蚀药,平胬药,提脓祛腐药
中医外科,流注好发部位是,C,头面部,骨关节,四肢躯干的肌肉深部,项后部,手足部
中医外科,有头疽的病因病机哪项不正确,E,感受风温、湿热之毒,情志内伤，气郁化火,肾气亏损，火邪炽盛,膏粱厚味，湿热火毒,外感风温、风热夹痰
中医外科,有头疽初起的局部症状是,A,粟粒样脓头,肿硬如钉丁,漫肿而无头,腐烂如莲蓬,腐烂大于尺
中医外科,颈痈的病因病机是,A,风温、风热夹痰蕴结少阳、阳明之络,风温毒邪客于肺胃，积热上蕴，夹痰凝结,心脾湿热，火毒流于小肠，结于脐中，以致血凝毒滞而成,湿热火毒蕴结，营气不从，逆于肉里,湿热下注，壅遏不行，阻于脉络
中医外科,蛇眼疔的发病部位是,E,手指指腹,手指顶端,手指末端,手指螺纹,手指甲缘
中医外科,疖的治疗方法，以下列哪项为主,D,散风清热,泻火饵毒,凉血活血,清热解毒,和营解毒
中医外科,颜面部疖和疔的鉴别要点是,C,脓的形质,皮肤颜色,根脚深浅,趣病速度,发热程度
中医外科,下列不属于疖的是,E,有头疖,无头疖,蝼蛄疖,疖病,痤疮
中医外科,下列哪项不是疖的病因病机,E,内郁湿火，外感风邪，两相搏结，蕴阻肌肤,感受暑毒,天热汗出不畅，湿热蕴蒸肌肤,复经搔抓，破伤染毒,正气不足，毒邪流窜，经络阻隔，气血凝滞
中医外科,发生在肌肤浅表部位、范围较小的急性化脓性疾病是,C,痈,疔,疖,有头疽,无头疽
中医外科,三陷证中之虚陷型多发生于疽证第几候,D,2候,1～2候,2～3候,4候,3～4候
中医外科,三陷证中之干陷型多发生于疽证第几候,C,1～2候,3～4候,2～3候,4候,2候
中医外科,蝼蛄疖的临床特点是,A,多发于儿童头部,好发于夏季,坚硬根深,范围在3～6cm,以上都不是
中医外科,有头疽患者若伴有消渴病，最易出现的变证是,B,走黄,内陷,失荣,肺痈,颈痈
中医外科,颈痈风热痰毒证治疗选用,D,五味消毒饮,黄连解毒汤,仙方活命饮,牛蒡解肌汤,普济消毒饮
中医外科,局部红肿热痛，突起根浅，肿势局限，范围在3cm左右，易脓、易溃、易敛之病是,C,痈,疔,疖,有头疽,无头疽
中医外科,发于体表皮肉之间的急性化脓性疾患是,E,疖,有头疽,疔,附骨疽,痈
中医外科,结喉之处肿势散漫，坚硬灼痛，壮热口渴，吞咽困难的疾病是,E,颈痈,瘰疬,发颐,臖核,锁喉痈
中医外科,有头疽的好发部位是,D,臀部,面部,四肢部,项后背部,以上都不是
中医外科,三陷证中之火陷型多发生于疽证第几候,B,2候,1～2候,3～4候,2～3候,4候
中医外科,初起皮肤上有粟粒样脓头，红肿热痛，病情发展则脓头增多，溃后状如蜂窝，范围在9～12cm之间的是,D,痈,疔,疖,有头疽,无头疽
中医外科,生于下列哪一部位的有头疽易致内陷,A,项后,四肢,颜面,少腹部,膻中
中医外科,生于下列哪一部位的疔疮最易发生走黄,C,项后,四肢,颜面,少腹,膻中
中医外科,托盘疔发生于,E,指端,指甲下,指甲背,手指关节,手掌中心
中医外科,辨别蛇头疔成脓与否，用什么方法最为可行,E,痛剧而呈搏动性者,应指验脓法,穿刺验脓法,痛甚脉数者,透光验脓法
中医外科,颜面部疔疮治宜,D,散风清热,泻火解毒,凉血活血,清热解毒,和营解毒
中医外科,红丝疔挑刺疗法的操作要点为,E,沿红线两头针刺出血,梅花针沿红线打刺，微微出血,用三棱针从中挑断红线，微微出血,按“B”选项方法，并加神灯照法,用三棱针沿红线寸寸挑断，并令微微出血
中医外科,发生“走黄”的原因是,D,正虚,伤津,腑实,邪盛,表实
中医外科,患者左腋下肿痛4天，左上肢活动不利，1周前有左手指外伤史。治疗宜选用,A,柴胡清肝汤,五神汤,萆薢渗湿汤,仙方活命饮,牛蒡解肌汤
中医外科,8月上旬，一男性儿童前额部出现2个红肿结块，约2cm×2cm，中央有一个脓头未溃，疼痛拒按，伴口渴便秘，尿短赤。应选用,C,五味消毒饮,仙方活命饮,清暑汤,防风通圣散,黄连解毒汤
中医外科,患者鼻翼右侧有一枚粟粒样脓头，麻痒并作，红肿热痛，顶突根深坚硬，舌红，苔薄黄，脉数。治则应为,D,和营托毒,清热利湿，和营消肿,散风清热，化痰消肿,清热解毒,和营托毒，清热利湿
中医外科,患者5岁，生疖于头顶皮肉较薄之处，引流不畅，头皮串空，其诊断为,D,痈,有头疽,附骨疽,蝼蛄疖,多发性疖
中医外科,一中年男性，下腹部生疮，初起肿块上有粟粒样脓头，抓破之后肿痛加重，色红灼热，脓头相继增多，溃后如蜂窝状，范围约12cm×12cm左右，兼有发热头痛，食欲不振，便秘尿赤，舌红苔黄，脉弦数，应诊断为,C,疗,疖,有头疽,脐痈,胯腹痈
中医外科,某患者，颈后疮形高肿，色红，多个脓头，焮热剧痛，舌红苔黄，脉洪大。治则应为,D,清热利湿，和营消肿,散风清热，化痰消肿,清热解毒，和营消肿,清热泻火，和营托毒,清热解毒
中医外科,患者一侧臀部结块，肿胀疼痛，皮肤灼热，红肿以中心为著，边界不清，步行困难，身热头痛，病前有局部肌肉注射史。应诊断为,C,丹毒,流注,臀痈,环跳疽,附骨疽
中医外科,疖病的肿势范围是,A,3cm左右,3～6cm左右,6～9cm左右,大于9cm,以上都不是
中医外科,痈的肿势范围是,C,3cm左右,3～6cm左右,6～9cm左右,大于9cm,以上都不是
中医外科,治疗腋痈的主方是,E,五神汤,牛蒡解肌汤,瓜萎牛蒡汤,仙方活命饮,柴胡清肝汤
中医外科,治疗锁喉痈热盛肉腐证的主方是,D,五神汤,牛蒡解肌汤,瓜萎牛蒡汤,仙方活命饮,柴胡清肝汤
中医外科,患者躯干部皮肤突然发红成片，色如丹涂的急性感染性疾病称,A,内发丹毒,赤游风,流火,抱头火丹,类丹毒
中医外科,患者头面部皮肤突然发红成片色如涂丹的急性感染性疾病称,D,内发丹毒,赤游风,流火,抱头火丹,类丹毒
中医外科,可采用“十”字切开法治疗的疾病是,C,附骨疽,托盘疗,蝼蛄疖,红丝疔,以上都不是
中医外科,可采用砭镰法治疗的疾病是,D,附骨疽,托盘疗,蝼蛄疖,红丝疔,以上都不是
中医外科,关于乳癖肿块的特点，不正确的是,D,可单侧发生,质地中等,多伴有压痛,与皮肤粘连,活动度好
中医外科,乳核肿块的直径多在,C,0.5～3cm之间,0.5～4cm之间,0.5～5cm之间,0.5～6cm之间,0.5～7cm之间
中医外科,下列哪项不是乳岩肿块的特点,C,无痛无热,皮色不变,表面光滑,质地坚硬,推之不移
中医外科,乳岩的好发年龄是,D,30～50岁,30～60岁,40～50岁,40～60岁,50～60岁
中医外科,乳痈溃后乳汁自疮口流出，久不愈合，则形成,D,乳衄,乳痨,乳溢,乳漏,以上都不是
中医外科,粉刺性乳痈的西医病名是,C,急性乳腺炎,化脓性乳腺炎,浆细胞性乳腺炎,结核性乳腺炎,淋巴细胞性乳腺炎
中医外科,乳癖属乳腺何种类型疾病,D,乳腺炎症,乳腺肿瘤,乳腺恶性病变,乳腺增生病,以上都不是
中医外科,治疗乳癖肝郁痰凝证常选用,C,十全流气饮,四海疏郁丸,逍遥蒌贝散,海藻玉壶汤,以上都不是
中医外科,对单发的乳核宜采用何种治疗方法,A,手术切除,中药治疗,放射治疗,抗痨治疗,以上都不是
中医外科,乳岩首选的治疗方法是,D,中药治疗,放射治疗,化学治疗,手术治疗,以上都不是
中医外科,乳晕部漏管的主要病因是,C,乳痈失治，脓出不畅,切开不当，损伤乳络,乳头内陷，感染毒邪,乳痨溃后，身体虚弱,情志不畅，肝失疏泄
中医外科,以下关于乳痈的主要病因病机，错误的是,B,乳汁淤积，阻塞乳络,肝郁痰凝，积聚乳络,肝郁胃热，闭阻乳络,感受外邪，郁滞乳络,以上均不是
中医外科,治疗乳痈热毒炽盛证最常用的方剂是,C,瓜蒌牛蒡汤,牛蒡解肌汤,透脓散,橘叶散,开郁散
中医外科,乳癖的临床表现常随什么而变化,A,月经周期,饮食多少,运动强度,睡眠长短,季节变换
中医外科,乳癖肿块好发于乳房哪个部位,C,内上象限,内下象限,外上象限,外下象限,乳晕周围
中医外科,某患者，一侧乳房广泛紧韧肿硬，皮色紫红，皮肤呈橘皮样变，全身炎症反应不明显，应首先考虑为,A,乳岩,乳痨,乳痈,乳发,以上都不是
中医外科,患者女性，26岁，产后第三周出现恶寒发热，右乳肿胀疼痛，体温38.7℃，检查见右乳红肿，无波动感，舌红，苔薄黄，脉弦数。此时的治疗方法是,C,切开引流,疏肝理气，化痰散结,疏肝清胃，通乳消肿,清热解毒，托里透脓,泻火解毒利湿
中医外科,患者女性，24岁，左乳房内单个肿块，无疼痛，边界清楚，表面光滑，活动度好，应诊断为,B,乳癖,乳核,乳痈,乳岩,乳疬
中医外科,患者女性，42岁，乳房肿块，界限不清，经前乳房胀痛，应首先考虑,C,乳岩,乳核,乳癖,乳痈,乳疬
中医外科,因肝胃郁热而形成的乳房疾病是,A,乳痈,乳癖,乳漏,乳疬,乳衄
中医外科,因肝郁痰凝而成的乳房疾病是,B,乳痈,乳癖,乳漏,乳疬,乳衄
中医外科,乳痈溃后脓液波及其他乳络会形成,E,乳衄,乳漏,乳发,乳痨,传囊乳痈
中医外科,乳痈溃后乳汁自疮口溢出会形成,B,乳衄,乳漏,乳发,乳痨,传囊乳痈
中医外科,女子乳头与乳房分属于哪条经脉,C,肝、肾,肝、脾,肝、胃,脾、肾,脾、胃
中医外科,男子乳头与乳房分属于哪条经脉,A,肝、肾,肝、脾,肝、胃,脾、肾,脾、胃
中医外科,乳痈妇女产后饮食不节，脾胃运化失司易致,B,乳汁郁结,肝郁胃热,乳汁稠厚,肝郁乘脾,感受外邪
中医外科,乳痈妇女产后体虚多汗，露胸哺乳易致,E,乳汁郁结,肝郁胃热,乳汁稠厚,肝郁乘脾,感受外邪
中医外科,乳癖的好发年龄是,B,20～40岁,25～45岁,40～60岁,50～70岁,20～25岁
中医外科,乳岩的好发年龄是,C,20～40岁,25～45岁,40～60岁,50～70岁,20～25岁
中医外科,甲状腺炎中医称为,B,瘿,瘿痈,石瘿,瘿瘤,甲状腺疾病
中医外科,以下哪项是气瘿肝郁气滞证的临床表现,C,肿块坚硬,疼痛,随喜怒消长,肿块局限,以上都不是
中医外科,气瘿漫肿，随喜怒消长，伴急躁易怒，善太息，证属,B,气滞血瘀,肝郁气滞,冲任不调,肝肾不足,痰浊凝结
中医外科,以下哪项不是肉瘿的特点,D,如肉之团,发展缓慢,柔韧而圆,漫肿质软,喉结一侧或两侧结块
中医外科,肉瘿伴急躁易怒，汗出心悸，失眠多梦，消谷善饥，形体消瘦，手部震颤者证属,C,肝郁气滞,气滞痰凝,气阴两虚,肝肾不足,冲任失调
中医外科,石瘿相当于西医学的,B,甲状腺炎,甲状腺癌,甲状腺肿,甲状腺病,甲状腺瘤
中医外科,瘿痈局部疼痛明显，伴恶寒发热、头痛口干、脉浮数，其证属,B,肝郁气滞,风热痰凝,血瘀化热,痰瘀内结,气滞痰凝
中医外科,患者，女，50岁。结喉正中偏右有一半圆形包块，边界清楚，表面光滑，皮色如常，可随吞咽上下移动，应考虑为,B,气瘿,肉瘿,筋瘿,血瘿,石瘿
中医外科,患者，女，45岁，甲状腺肿大20年，呈漫肿，无痛，随喜怒而消长，属中医,D,石瘿,肉瘿,瘿痈,气瘿,失荣
中医外科,瘿痈患者，肿块坚实，轻度作胀，重按才感疼痛，其痛牵引耳后枕部，或有喉间梗塞感，痰多，一般无全身症状，苔黄腻，脉弦滑。其辨证为,B,肝郁气滞证,气滞痰凝证,血瘀化热证,痰瘀内结证,冲任失调证
中医外科,患者，肉瘿，急躁易怒，汗出心悸，失眠多梦，消谷善饥，形体消瘦，手部震颤。其辨证为,C,肝郁气滞证,气滞痰凝证,气阴两虚证,肝肾不足证,冲任失调证
中医外科,甲状腺肿物坚硬如石，高低不平，推之不移。中医称之为,C,失荣,肉瘤,石瘿,肾岩翻花,肉瘿
中医外科,甲状腺肿物表面光滑，可随吞咽上下移动，按之不痛，生长缓慢。中医称之为,E,失荣,肉瘤,石瘿,肾岩翻花,肉瘿
中医外科,气瘿漫肿，边缘不清，随喜怒消长，皮色如常。治宜,A,疏肝解郁,清热化痰,调和冲任,益气养阴,以上都不是
中医外科,肉瘿伴急躁易怒汗出心悸失眠多梦形体消瘦。治宜,D,疏肝解郁,清热化痰,调和冲任,益气养阴,以上都不是
中医外科,引起气瘿的内因主要是,C,饮食缺碘,体质虚弱,情志不畅,外感邪毒,肾气亏虚
中医外科,引起气瘿的外因主要是,A,饮食缺碘,体质虚弱,情志不畅,外感邪毒,肾气亏虚
中医外科,中医的血瘤，相当于西医的,A,血管瘤,皮脂腺囊肿,下肢静脉曲张,脂肪瘤,多发性神经纤维瘤
中医外科,肉瘤的西医病名是,C,脂肪肉瘤,骨骼肌肉瘤,脂肪瘤,钎维肉瘤,平滑肌肉瘤
中医外科,体表血络扩张，纵横丛集形成的肿瘤是,B,气瘤,血瘤,筋瘤,肉瘤,骨瘤
中医外科,瘤的特点没有下列哪一项,C,局限性肿块,生于体表,局部漫肿,发展缓慢,以上都不是
中医外科,中医所说的脂瘤相当于西医的,C,体表肿物,恶性肿瘤,皮脂腺囊肿,体内肿瘤,内脏肿瘤
中医外科,中医的失荣相当于西医所说的,C,体表肿物,脂肪瘤,颈部淋巴结转移癌,毛细血管瘤,海绵状血管瘤
中医外科,下列哪项不是失荣的特点,C,质地坚硬,表面凹凸不平,多发于青少年,肿块联结成串,预后不良
中医外科,下列哪一项不是血瘤的特点,E,边界不清,触之如海绵状,柔软而局限,色泽鲜红或暗紫,盘曲如蚯蚓状
中医外科,毛细血管瘤最显著的特点是,E,边界不清,瘤体巨大,质地坚硬,压缩性大,皮色鲜红
中医外科,海绵状血管瘤的显著特点是,B,皮色鲜红,压缩性大,青筋累累,边界不清,质地坚硬
中医外科,相当于西医的恶性肿瘤颈部淋巴结转移的疾病是,C,肉瘤,血瘤,失荣,颈痈,石瘿
中医外科,患者左前臂部有一肿块，呈扁平隆起，质地柔软，状如海绵，皮色略紫，按之肿块可缩小，据此可诊断为,D,气瘤,脂瘤,筋瘤,血瘤,肉瘤
中医外科,患者，女性，40岁。无意中发现背部肿块，无自觉症状，查：局部皮色不变，肿块触之柔软，呈分叶状，推之可移动，无压痛。该患者最可能的诊断是,E,痈,背疽,血瘤,脂瘤,肉瘤
中医外科,由体表血络扩张丛集形成的肿瘤是,B,气瘤,血瘤,筋瘤,肉瘤,骨瘤
中医外科,发于皮里膜外，由脂肪组织过度增生形成的肿瘤是,D,气瘤,血瘤,筋瘤,肉瘤,骨瘤
中医外科,自血脉肿起，赤缕红丝，颜色红紫，属于,B,气瘤,血瘤,筋瘤,肉瘤,骨瘤
中医外科,发于皮里膜外，柔软如棉，其形如馒，属于,D,气瘤,血瘤,筋瘤,肉瘤,骨瘤
中医外科,多在出生后1～2个月内出现，部分在5岁左右自行消失，多发生在颜面颈部，可单发，也可多发。多数表现为在皮肤上有红色丘疹或小的红斑，逐渐长大，界限清楚，大小不等，质软可压缩，色泽为鲜红色或紫红色，压之可褪色，抬手复原属于,B,曲张静脉团,毛细血管瘤,蔓状血管瘤,冠状动脉瘤,海绵状血管瘤
中医外科,表现为质地柔软似海绵，常呈局限性半球形扁平或高出皮面的隆起物，肿物有很大压缩性，可因体位下垂而充盈，或随患肢抬高而缩小，在瘤内有时可扪及颗粒状的静脉石硬结，外伤后可引起出血，继发感染，可形成慢性出血性溃疡属于,E,曲张静脉团,毛细血管瘤,蔓状血管瘤,冠状动脉瘤,海绵状血管瘤
中医外科,血瘤肿块大小不一，色泽鲜红，边界不清，不痛不痒，伴五心烦热，面赤口渴，口舌生疮，属于,A,心肾火毒证,肝经火旺证,脾统失司证,心火妄动证,肝郁化火证
中医外科,血瘤瘤体体积不大，边界不清，表面色红，质地柔软易出血，无疼痛，伴肢软乏力，面色萎黄者属于,C,心肾火毒证,肝经火旺证,脾统失司证,心火妄动证,肝郁化火证
中医外科,下列关于癣的治疗方法，错误的是,C,灰黄霉索,剪发、拔甲、拔发、洗头,肌肉注射抗生素,10％水杨酸软膏,5％硫黄软膏
中医外科,白秃疮的西医病名是,B,黄癣,白癣,手癣,脚癣,股癣
中医外科,热疮的主要治法是,D,凉血散瘀,清热和营,清热利湿,清热解毒养阴,清热凉血
中医外科,梅毒肝经湿热证的常用处方是,B,萆薢分清饮,龙胆泻肝汤,八正散,萆薜渗湿汤,导赤散
中医外科,接触性皮炎风热蕴肤证的代表方为,B,龙胆泻肝汤,消风散,化斑解毒汤,当归饮子,清营汤
中医外科,药毒是药物进入人体内所致的急性炎症反应，与其他疾病相比，其特点是,A,发病前有用药史，有一定的潜伏期，皮损多形性,发病前均有明湿的接触某种物质病史,皮损呈丘疹样风团，上有针尖大小的瘀点、丘疹或水疱，呈散在性分布,皮损主要表现为浅在性脓疱和脓痂，有接触传染和自体接种的特性,对称分布，多形损害，剧烈瘙痒，倾向湿润，反复发作，易转为慢性
中医外科,下列哪项不是瘾疹的病因病机,E,禀性不耐，卫外不固，风邪乘虚侵袭,风寒、风热客于肌表,肠胃湿热郁于肌表,气血不足，虚风内生,风湿热邪浸淫肌肤
中医外科,牛皮癣的皮损特点为,C,瘙痒性风团，发无定处，骤起骤退，消退后不留任何痕迹,对称分布，多形损害，剧烈瘙痒,皮损呈圆形或多角形的扁平丘疹融合成片，极易形成苔藓样变,皮损为暗红、淡紫色或皮肤色多角形扁平丘疹，有蜡样光泽、网状纹,皮损为基底淡红色，上覆银白色鳞屑，剥后有薄膜现象和点状出血
中医外科,以下哪项不是牛皮癣的症状特点,E,易形成苔藓样变,扁平丘疹,皮损肥厚,瘙痒剧烈,严重时可见汁水淋漓
中医外科,脱肛相当于西医学的,B,肛裂,直肠脱垂,刚漏,锁肛痔,以上都不是
中医外科,以下哪一项为淋病临床特点,D,龟头红肿，包皮内有多量脓性分泌物,外生殖器有多个痛性溃疡，表面有脓性分泌物，尿道口红肿,尿道分泌物少，为黏液状,尿道口刺痛，尿道口排出脓性分泌物,外生殖器多为单个无痛性溃疡
中医外科,中医认为梅毒的病因病机为,A,淫秽疫毒与湿热、风邪杂合所致,湿热秽浊之邪侵及肝经、下注阴部,湿热秽浊由下焦前阴入侵，阻于膀胱及肝经,秽浊之毒酿生湿热，下注皮肤黏膜,下焦湿热导致膀胱功能失调，三焦水道通调不利
中医外科,下列哪一项为尖锐湿疣的中医病因病机,D,湿热秽浊由下焦前阴入侵，阻于膀胱及肝经,湿热秽浊之邪侵及肝经、下注阴部,风热毒邪搏于肌肤而生,秽浊之毒酿生湿热，下注皮肤黏膜,淫秽疫毒与湿热、风邪杂合所致
中医外科,热疮湿热下注证方选,B,辛夷清肺饮,龙胆泻肝汤,增液汤,八珍汤,四妙勇安汤
中医外科,热疮阴虚内热证方选,C,辛夷清肺饮,龙胆泻肝汤,增液汤,八珍汤,四妙勇安汤
中医外科,热疮多因感受何邪所致,D,湿热,火毒,燥热,风热,暑热
中医外科,蛇串疮的皮损特点是,D,瘙痒性风团，发无定处，骤起骤退,皮肤黏膜交界处成群的水疱,皮肤上浅在性脓疱和脓痂,带状分布的红斑上成簇的水疱,对称分布，多形损害，剧烈瘙痒
中医外科,蛇串疮气滞血瘀证治疗以什么为主,C,本病一般不必内服药,清解余热,理气活血，通络止痛,扶正祛邪,以上均不是
中医外科,以下哪项不是白癣的特点,C,皮损为头皮有圆形或不规则的覆盖灰白色鳞屑的斑片,毛发干枯无光泽,可形成永久性脱发,易在距头皮0.3～0.8cm处折断,病发根部有白色菌鞘包绕
中医外科,以下哪项不是肥疮的特点,E,皮损多从头顶部开始，可累及全头部,皮损处有黄癣痂堆积,头发干燥，穿过皮损，易折断,皮损处叮闻及鼠尿臭,皮损处头发不会形成永久性脱发
中医外科,对于花斑癣，以下哪项说法不正确,C,常发于多汗体质青年,皮损好发于颈项、躯干,不会融合成片,好发于多汗部位,皮损为界清的圆形或不规则的无炎症性斑块
中医外科,以下哪一项属于肥疮脱发的特点,C,常在距头皮0.3～0.8cm处折断,脱发呈上粗下细的感叹号状,脱发后由于毛囊破坏，成为永久性脱发,脱发处油脂较多,以上均不是
中医外科,疥疮的皮损特点是,B,皮肤呈丘疹样风团，上有针头大的瘀点、丘疹或水疱,夜间剧痒，在皮损处有灰白色或普通皮色的隧道,皮肤上浅在性脓疱和脓痂，有传染性和自体接种的特性,躯干部位皮肤瘙痒及血痂,对称分布，多形损害，剧烈瘙痒
中医外科,患者女性，27岁。食芒果7小时后口周皮肤鲜红肿胀，其上有水疱或大疱，大疱破裂后则有糜烂渗液，灼热，瘙痒，伴发热，口渴，大便干结，小便黄，舌红，苔黄，脉弦数。治疗应首选的方剂是,E,凉膈散,黄连解毒汤,龙胆泻肝汤,化斑汤,化斑解毒汤合龙胆泻肝汤
中医外科,患者因劳累后唇缘、口角处见群集的小水疱，灼热痒痛，周身不适，心烦郁闷，大便干，小便黄，舌红，苔黄，脉弦数，治疗宜用下列何方,E,龙胆泻肝汤,五味消毒饮,黄连解毒汤,导赤散,辛夷清肺饮合竹叶石膏汤
中医外科,患者中年女性，平素纳差，时腹胀便溏，3天前因劳累后左胁肋部出现带片状红色斑丘疹，继而出现黄豆大小的水疱，红斑颜色较淡，疱壁松弛，伴有灼痛，口不渴，舌淡，苔白或白腻，脉缓，应选用以下何方治疗,B,龙胆泻肝汤,除湿胃苓汤加减,黄连解毒汤,桃红四物汤加减,参苓白术散加减
中医外科,患者男性，21岁，双手背起结节1年，如豆般大，坚硬粗糙，表面蓬松枯槁，色黄。皮损范围有扩大趋势，无任何不适，舌红，苔薄，脉弦数。诊断为,D,扁瘊,跖疣,鼠乳,疣目,丝状疣
中医外科,患者男性，57岁，反复发作的丘疹、丘疱疹、红斑10年。10年前患者不明诱因双前臂出现红斑、丘疱疹，伴瘙痒，经医治后好转，后皮损反复发作，且累及面积在不断扩大，每年发作2～3次，今夏皮损再次发作，皮损主要为丘疹、丘疱疹，伴有抓痕，痒甚，抓破后有渗液，可见鳞屑，伴有纳少、腹胀，舌淡，苔白，脉弦缓。宜选用何方治疗,D,萆薢渗湿汤加减,黄连解毒汤加减,龙胆泻肝汤加减,除湿胃苓汤加减,化斑解毒汤合龙胆泻肝汤加减
中医外科,患者男性，25岁，晨起跑步时偶遇风后全身泛发风团，色白，伴瘙痒，发无定处，成批发生，用温水清洗后皮损很快消退，口不渴，舌淡，苔白，脉浮紧。宜选用何方治疗,B,消风散,麻黄桂枝各半汤,麻黄附子细辛汤,当归饮子,四物消风散
中医外科,某男，皮疹为红斑、丘疹、风团、水疱，甚则糜烂渗液，表皮剥脱；伴灼热剧痒，口干，大便燥结，小便黄赤，发热；舌红，苔薄黄，脉滑数。其治则为,D,清热化瘀，解毒通络,清利湿热，解毒通络,活血化瘀，解毒通络,清热利湿，解毒止痒,清热泻火，凉血解毒
中医外科,患者男性，54岁，5年前腰部因疼痛，外贴膏药后皮肤出现局限性红肿，后起水疱，伴瘙痒，自行治疗后皮损结痂，有色素沉着，5年中病情反复发作，皮损肥厚干燥，有鳞屑，瘙痒剧烈，舌淡红，苔薄，脉弦细数。其治疗方药是,C,黄连解毒汤加减,凉膈散加减,消风散合当归饮子加减,龙胆泻肝汤加减,化斑解毒汤合龙胆泻肝汤加减
中医外科,患者出现全身泛发性丘疹、斑丘疹2天，9天前有因感冒服用阿莫西林史，2天前躯干起针尖至米粒大小的丘疹或斑丘疹，色鲜红，伴瘙痒，后皮损很快密集融合，伴有发热，口唇焦燥，口渴不欲饮，小便黄，舌绛，苔少，脉洪数。诊断为何病,B,荨麻疹型药疹,麻疹样型药疹,多形红斑型药疹,湿疹样型药疹,剥脱性皮炎型药疹
