标准答案,题干,选项A,选项B,选项C,选项D,选项E
E,患者，男，38岁，因劳动时淋雨，第二天出现恶寒发热，头身疼痛，无汗，喘咳，痰涎清稀而量多，胸闷，不得平卧，头面四肢浮肿，舌苔白滑，脉浮。治疗应首选,九味羌活汤,桂枝汤,麻黄汤,止嗽散,小青龙汤
D,医学研究首要的基本的伦理前提是,谦虚谨慎，团结协作,诚实守信，保守秘密,钻研医术，精益求精,动机纯正，目的明确,举止端庄，语言文明
E,下列除哪项外，均为天南星的主治证,湿痰、寒痰证,风痰眩晕,破伤风,痈疽肿毒,心下痞、结胸
E,乳发初起治法为：,清热利湿,托里透脓,健脾利湿,清热凉血开窍,泻火解毒利湿
B,传染病防治的方针是,调查、控制和医疗救治,预防为主,预防为主、常备不懈,统一领导、统一指挥,统一领导、分级负责
B,不承担任何道德代价的人体试验方法是,常规试验,天然试验,安慰剂试验,双盲法试验,常规试验和安慰剂试验
A,十二指肠球部溃疡的直接X线征象是,龛影,球部激惹征,黏膜皱襞纠集,球部变形,球部水肿
B,据《素问·汤液醪醴论》，中古之世做汤液醪醴是,为而不用，以为备耳,服之万全,服之亦不必已,配合针石,配合薰浴
D,四逆散证之四逆，较合适的理解为,少阴阳虚，复感寒邪，寒凝气滞,肾虚水停，阳气被遏,心肾阳虚，阴寒内盛，阳气不达,肝胃气滞，阳气内郁，不达四末,阴阳气不相顺接
D,脱囊相当于：,阴囊脓肿,阴囊肿瘤,睾丸脓肿,阴囊坏疽,睾丸鞘膜积液
A,吐势徐缓，声音微弱，呕吐物清晰者，属于,虚寒证,实热证,热扰神明,食滞胃脘,脾胃阳虚
C,共同参与型的医患关系模式最适合于,急性病人,绝症病人,慢性病人,重症病人,精神病人
B,急性肠炎可见,黏液、脓血便,水样便,米泔样便,白陶土样便,柏油样便
E,瘿的现代涵义是(　　)。,甲状腺肿瘤,结喉两侧肿块,颈部肿块,颈前部肿块,专指甲状腺肿大或肿块类疾病
D,锥体束受损的体征是,Romberg征,Lasegue征,Kernig征,Babinski征,Brudzinski征
C,半夏白术天麻汤的功效是,燥湿化痰，理气和中,燥湿健脾，软坚化痰,燥湿化痰，平肝息风,润肺清热，理气化痰,燥湿行气，软坚化痰
E,下列哪一项不是水痘的特点,顶满无脐,晶莹明亮,浆液稀薄,皮薄易破,无传染性
E,下列何项不属于问诊一般情况的内容,姓名,婚否,籍贯,职业,工作简历
B,肉桂功善于,回阳救逆,补火助阳,温胃止呕,发汗平喘,发表解肌
C,清暑益气汤(《温热经纬》)的功用是,清暑益气，和胃止呕,清暑解热，化气利湿,清暑益气，养阴生津,祛暑解表，清热化湿,清暑益气，除湿健脾
E,水肿这一术语不包括下列哪种情况,阴囊积水,腹腔积水,心包积水,胸腔积水,脑水肿
B,面赤，口苦，脉数，其病位多在,肝,心,脾,肺,肾
A,体温升高达39℃～40℃以上，持续数天或数周，24小时内体温波动范围不超过1℃，这样的热型是,稽留热,弛张热,间歇热,波状热,不规则热
C,X线造影剂引起的肾衰竭（　　）。,肾前性肾衰竭,肾后性肾衰竭,肾性肾衰竭,以上都是,以上都不是
D,关于心理应激的说法错误的是,相信事件是可控制可预测的可以减轻心理应激,适度的应激可以促进健康,长期的超强度应激会损害健康,心理防御机制的应用可以从根本上消除解除焦虑,有效的放松训练可以降低心理应激水平
E,失荣相当于西医的哪种疾病：,舌癌,唇癌,鼻咽癌,甲状腺癌,恶性肿瘤颈部转移
C,车前子、旋覆花入汤剂宜,久煎,先煎,布包煎,另行溶化,另煎
D,肾气丸中用量最大的药物是,附子,桂枝,山萸肉,干地黄,山药
E,尿石症之湿热内蕴治疗常用方是（   ）,石韦散,龙胆泻肝汤,五味消毒饮,八正散,三金排石汤
C,妇人肾气虚弱，膀胱气化不行而致脐下急痛，小便不通，此证称,胞阻,阴吹,转胞,陷经,正喧
E,患者皮肤上有一红色肿块，直径约3cm左右，无脓头，表面灼热，触之疼痛，3天后化脓，形成脓肿，溃后迅速愈合。应诊断为,有头疖,痈,蝼蛄疖,脂瘤染毒,无头疖
B,生神曲的功效特点是,消食兼能散瘀,消食兼能发表,消食兼能疏肝,消食兼能化石,消食兼能化痰
C,尿蛋白阳性是指患者24小时尿蛋白量应大于的数值是,50mg,100mg,150mg,200mg,250mg
E,提高医疗质量的精神力量是,医疗技术,医疗设备,规章制度,经济效益,医德医风
B,精浊的临床特征：,阴囊肿大偏坠，透光试验阳性,尿道口常有精液溢出,射精时精液呈淡红色或棕色,阴茎背侧触及硬结或索状斑块,排尿困难、尿潴留
D,菟丝子除能补肾固涩外，还具有的功效是,行血脉,托疮毒,润肠燥,补肾阴,敛汗
D,关于雄激素，下列哪项是错误的：,可促进阴毛、腋毛生长,促进蛋白质合成,促进肌肉生长和骨骼的发育,妇女体内雄激素只来源于肾上腺皮质,促进红细胞生成
A,适用于心阳衰弱之心悸、胸痹的药物是,附子,干姜,肉桂,吴茱萸,小茴香
B,患者36岁，淋漓阴道出血2个月。平素月经规律，经量多，持续时间长，今为脓性血性分泌物对此患者为明确诊断。应采取下列何项措施,抗生素治疗3天后行宫腔镜检查,消毒条件下窥视阴道、宫颈，行双合诊(或三合诊)检查,抗生素加止血药治疗后妇科检查,抗生素治疗3天后诊刮,性激素修复内膜，血止后做妇科检查
D,下列疾病可出现颈静脉搏动的是,严重贫血,主动脉瓣关闭不全,高血压,三尖瓣关闭不全,甲状腺功能亢进症
D,心尖部第一心音增强的是,肺心病,心肌炎,主动瓣关闭不全,二尖瓣狭窄,二尖瓣关闭不全
E,不属于人格的投射类测验的是,洛夏墨迹测验,主题统觉测验,霍兹曼墨迹测验,词语联想测验,范畴测验
B,异位妊娠辨证属(　　)。,腑实证,少腹血瘀之实证,少腹血瘀之虚证,虚实夹杂证,以上都不是
C,维持子宫正常位置的是,骨盆底肌肉及其上下筋膜支托作用,膀胱和直肠的支托作用,子宫四对韧带及盆底肌肉筋膜的支托作用,腹腔压力作用,子宫四对韧带的作用
D,学习和记忆的电生理学基础是,识记、保持、再认和回忆,胆碱能神经元动作电位,内流钙离子,突触长时程增强电位,经典条件反射
C,子痫痰火上扰证的治则是,清热开窍,豁痰熄风,二者均是,二者均不是,
B,乌梅丸主治何种厥逆,气厥,蛔厥,痰厥,寒厥,热厥
A,正常心脏电活动的起源部位是,窦房结,房室结,房室束,左心房,右心房
D,尊重病人自主性或决定，在病人坚持己见时，可能要求医生,放弃自己的责任,听命于患者,无需具体分析,必要时限制病人自主性,不伤害患者
D,对医务人员造成医疗事故情节严重的，由卫生行政部门,酌情给予处理,免于行政处分,给予行政处分,吊销其执业证书,其善后处理由本人负责
A,关于引起神经症的应激事件，不正确的说法是,研究表明，神经症患者不比其他人遭受更多的生活事件,应激事件的强度一般不太强但持续时间比较长,在别人看来无足轻重的应激事件可能引起神经症患者的强烈反应,患者对应激事件往往有一定的认识,应激事件更多来源于患者内心
E,患者，男，50岁。眩晕欲仆，头重脚轻，筋惕肉瞤，肢麻震颤，腰膝酸软，舌红苔薄白，脉弦细。其病机是,肝火上炎,肝阳上亢,肝阴不足,肝气郁结,肝阳化风
B,正常人尿比重是,1.01,1.015～1.025,1.02,1.015,1.025～1.035
D,对于病人来讲，最重要的、最优先的需要是,生理的需要,爱与归属的需要,尊重的需要,安全的需要,自我实现的需要
D,方中芍药与甘草配伍以和里缓急的方剂是,逍遥散,桂枝汤,阳和汤,小建中汤,痛泻要方
C,患者，女，15岁，学生，近半年，经来无期，过多，过频，行经时间长，现经来10余天量多，势如血崩，经血色淡，质清，面色晦黯，肢冷畏寒，腰膝酸软，小便清长，夜尿多，舌淡黯，苔白润，脉沉细无力此病治法,补气摄血止崩,滋阴固气止崩,温阳止崩,祛瘀止崩,补气养阴止崩
C,牡丹皮具有的功效是,凉血止血，杀虫,凉血消斑，定惊,凉血活血，退虚热,凉血活血，解毒,凉血活血，泻肝火
B,患者，女，48岁，已婚。赤白带下，头昏目眩，五心烦热，失眠多梦，舌红少苔，脉细略数。其证候是,脾虚湿阻,肾阴虚,湿热壅滞,肝肾阴虚,湿毒下注
C,《金匮要略》妊娠五六月坠胎者，谓之,恶阻,子脏开,半产,胞阻,漏下
E,"""子宫""一词最早见于：",《易经》,《诗经》,《山海经》,《内经》,《神农本草经》
A,妊娠不足28周，胎儿体重不足1000g而终止,流产,早期流产,晚期流产,早产,死胎
A,妊娠贫血气血两虚证的治法是,补气养血,健脾养心,二者均是,二者均不是,
D,临床出现自汗多尿，是气的哪一种功能减退的表现,推动与调控作用,温煦与凉润作用,防御作用,固摄作用,中介作用
D,怀孕七个月，小便频数，尿少色黄，艰涩刺痛，面赤心烦，渴喜冷饮，口舌生疮，舌红少苔，脉细数。若小便带血者加,生地、川芎,阿胶、甘草,滑石、当归,生地榆、大小蓟,车前子、淡竹叶
A,重在调经为,月经病的治疗原则,经期延长的治疗大法,二者均是,二者均不是,
E,经乱无期，出血量少，色暗红，质清稀，畏寒肢冷，腰腿酸软，小便清长，舌质淡，苔薄白，脉沉细，辨证为,气虚型月经先后无定期,血虚型月经先后无定期,肾虚型月经先后无定期,肝郁型月经先后无定期,以上均不是
D,外敷有发泡作用，皮肤过敏者忌用的药物是,半夏,天南星,白附子,白芥子,皂荚
B,乳房胀痛，可扪及结块，并有压痛，晚期可伴有乳头凹馅；溢血表皮呈橘皮样改变为,乳癖,乳岩,二者都对,二者都不对,
A,产后小便频数或失禁，夜尿尤多，头晕耳鸣，腰膝痰软，面色晦黯，舌淡，苔白滑，脉沉细无力，两尺尤弱。应选(　　)。,肾气丸,八珍汤,补中益气汤,黄芪当归散,以上都不是
D,子痫肝风内动证的治则是,清热开窍,豁痰熄风,二者均是,二者均不是,
C,治疗噤口痢，应选用的药物是,远志,苏合香,石菖蒲,冰片,麝香
D,下列哪项是二尖瓣狭窄的体征,水冲脉,颜面苍白,静动脉搏动明显,颜面紫红,心浊音界向两侧扩大
E,关于腹痛与体位关系的描述，错误的是,胃黏膜脱垂者左侧卧位时减轻,胰腺癌患者仰卧位时加重,胰头癌患者俯卧时疼痛减轻,反流性食管炎患者立位时减轻,胰头癌患者前倾位时腹痛加重
A,临床上往往通过调补肝肾以体现：,调补冲任,调节阴阳,补益精血,胞宫藏泻,开合泻藏
C,妊娠早期，恶心呕吐不食，甚则食入即吐是,脾虚痰浊,气阴两虚,脾胃虚弱,肝胃不和,脾失健运
B,淫羊藿、巴戟天共同的功效是,补肾益精，养血益气,补肾壮阳，祛风除湿,温肾壮阳，祛寒除湿,补肾助阳，润肠通便,补肾益肺，止血化痰
D,实邪结聚，阻滞经络，气血不能外达，可致,实性病机,虚性病机,真虚假实,真实假虚,虚实夹杂
E,妊娠晚期，或正值分娩时，卒然昏不知人，四肢抽搐，气粗痰鸣，舌红苔黄腻，脉弦数其治法是,平肝熄风,育阴潜阳,滋补肝肾,利湿化痰,清热豁痰开窍
A,患者牙关紧闭，面肌痉挛，最可能的疾病是,破伤风,甲亢,震颤性麻痹,急性阑尾炎,严重低血糖
B,两地汤主要适用于(　　)。,实热型月经先期,虚热型月经先期,湿热型月经先期,气虚型月经先期,郁热型月经先期
C,在《伤寒论》中麻黄杏仁甘草石膏汤证的病机是,表病误下，外证不解，气逆于肺,风寒束表，肺气不宣,汗下后，邪气内传，热壅于肺,外有风寒，内有郁热,风寒郁肺，痰热壅滞
B,"""子晕""发生的主要机制是",肝风内动，痰火上扰,阴虚不足，肝阳上亢,气滞血瘀，湿阻气机,脾肾阳虚，水湿不化,脾胃虚弱，水饮内停
B,基因组为DNA的肝炎病毒是,甲肝病毒,乙肝病毒,丙肝病毒,丁肝病毒,戊肝病毒
A,患者，刘某，30岁。结婚3年未孕，平素月经规则，量可。近1年来月经量少，色暗，行经时间延期，形体消瘦，头晕耳鸣、失眠多梦，阴道干涩，舌质淡红少苔，脉细。其治法为,滋肾养血，调补冲任,温肾调补冲任,活血化瘀调经,燥湿理气化瘀调经,疏肝理气养血调经
D,易直中心包，闭窍动风的病邪是(    ),风热病邪,燥热病邪,温毒病邪,暑热病邪,温热病邪
B,风热型经行风疹块临床表现下列哪一项是错的,经行身发红色风疹块,舌淡，苔薄白，脉虚数,瘙痒不堪,月经多提前,尿黄便结
A,外阴奇痒难忍，白带呈泡沫状的是,滴虫性阴道炎,念珠菌性阴道炎,细菌性阴道炎,老年性阴道炎,宫颈糜烂
D,妊娠期全身皮肤瘙痒，出现风团，上半身尤甚，疹块色红有灼热感，剧痒，咽喉肿痛，舌红苔黄，脉浮滑数。其证侯是,阴虚,阳虚,血虚,风热,营卫不调
B,尿少而短赤，发热口渴属于,湿热蕴结,热盛伤津,肾气虚弱,肝郁犯脾,气虚失运
D,对于细菌性阴道病，下列哪项是不恰当的,胺臭味试验阳性,病理特征为无炎症病变,细菌性阴道病是一种混合性细菌感染,治疗的首选药物是青霉素,分泌物灰白稀薄，黏度低
C,下列不属于厥阴病提纲证的是(   ),气上撞心,饥而不欲食,四肢厥逆,消渴,心中疼热
C,下列哪项不属于妊娠期母体的生理变化？（   ）,乳房及乳头增大，乳晕着色,子宫增大变软,子宫增大变硬,妊娠纹,妊娠斑
E,艾某，18岁，未婚，17岁初潮，有慢性鼻炎病史。每次经前一天需要吃感冒清热颗粒，发热，恶寒，无汗，鼻塞流涕，咽喉痒痛，咳嗽痰稀白，经净后感冒痊愈。现经前一天就诊，发热，恶寒，无汗，鼻流清涕，舌淡红，苔薄白，脉浮紧。本病的中医治则应为,燥湿化痰，调和营卫,扶正固表，调和营卫,疏风清热，和血调经,和解表里,解表散寒，和血调经
B,医师注册后，以下哪种情形不需要注销注册,死亡的,受到警告行政处罚的,被宣告失踪的,受吊销医师执业证书行政处罚的,中止医师执业活动满2年的
A,崩漏、月经先后无定期，月经过少的虚证的共同病机,肾虚,血虚,血瘀,气滞,血寒
B,不属于病人权利的内容是,受到社会尊重和理解,遵守医疗部门规章制度,享受医疗服务,保守个人秘密,免除或部分免除健康时的社会责任
C,患者。女，32岁。产一女婴，产时不顺，损伤膀胱，产后小便不通，尿色略混浊带血丝，小腹胀急疼痛，舌质暗，苔白，脉涩。其证候为,气虚证,肾虚证,血瘀证,湿热下注证,肝经郁热证
B,女患者，产后小腹隐隐作痛，喜按，恶露量少色淡，头晕耳鸣，大便干燥，舌淡红，苔薄，脉虚细。治疗首选何方：,当归生姜羊肉汤,肠宁汤,加参生化汤,当归芍药散,生化汤
B,以下反映肝损害的最敏感的检查指标是,AFP,ALT,AST,γ-GT,ALP
C,脏腑之中，被称为“孤府”的是,胆,胃,三焦,脾,脑
A,虚热型经期延长的治法是,养阴清热止血,温经散寒，化瘀止痛,滋肾养阴，固冲止血,活血祛瘀止血,补气摄血，固冲调经
A,治疗气虚型胎漏的首选方剂是：,固下益气汤,寿胎丸,举元煎加味,加味圣愈汤,加味阿胶汤
C,小儿囟门迟闭，多属,温病火邪上攻，脑髓有病,吐泻伤津，或气血不足,肾气不足，发育不良,肾阴不足，虚火上炎,以上都不是
E,与气机升降调节关系密切的是,心与肺,心与肾,心与脾,脾与肝,肺与肝
B,下列哪项与经间期出血湿热证关系密切,肝、肾,肝、脾,心、脾,脾、胃,心、肾
C,症见肢节疼烦，掣痛不得屈伸，近之痛剧，汗出短气，小便不利，恶风不欲去衣，身微肿者，治宜选用(   ),桂枝附子汤,白术附子汤,甘草附子汤,大黄附子汤,麻黄附子汤
B,导致瞳孔缩小的可能原因是,吐泻伤津,药物中毒,瘿病,慢脾风,临床死亡的指征
B,妇人乳中虚，低热，烦躁，失眠，呕吐，纳差，脉细数者，治法是(  ),止逆下气,安中益气,缓中补虚,滋阴降火,益气安神
D,"在《外科正宗》一书中提出医生""五戒""和""十要""的医学家是",孙思邈,张仲景,钱乙,陈实功,李时珍
D,《素问·阴阳应象大论》指出：其高者，(   ),散而泻之,按而收之,引而竭之,因而越之,泻之于内
A,妊娠五个月，小便频数，淋沥涩痛，午后潮热，手足心热，大便干结，颧赤唇红，舌红少苔，脉细滑数。本病最早见于,《金匮要略》,《妇人大全良方》,《伤寒论》,《医宗金鉴》,《诸病源候论》
D,患者，女，28岁，已婚。带下量多，色黄，质黏腻，有臭气，胸闷纳差，小腹胀痛，伴阴痒，小便黄少，舌苔黄腻，脉濡略数。其证候是,脾虚湿阻,气滞血瘀,湿瘀壅结,湿热下注,热毒内蕴
A,二尖瓣狭窄的听诊内容，最具特征的是,心尖部舒张期隆隆样杂音,开瓣音,S1增强,P2分裂,Graham-Steell杂音
C,具有燥湿健脾、祛风散寒、明目功效的药物是,茯苓,白术,苍术,萆薢,威灵仙
A,对于成年人的心理健康，以下哪点不正确,工作应超负荷，以挖掘个人潜力,家庭稳定是情绪乐观、事业有成的基石,充足的睡眠仍很重要,矫正不良行为是这个时期维护身心健康的关键,以上都正确
C,元某，女，职工，30岁。形体消瘦，平素月经频发，23～25天一行，量少，色鲜红，质黏稠。现妊娠5个月余，宫底耻骨联合上2横指，盆腔B超提示活胎。孕妇自觉手足心热，烦躁不安，口干喜饮，舌红，少苔，脉细数。治疗本病的首选方剂是,胎元饮加党参、枸杞子,寿胎丸合四君子汤,保阴煎加枸杞子、桑椹子,清热固冲汤加味,长胎白术散
A,除下列哪项外，均为不孕症的病因,血虚,肾虚,肝郁,痰湿,血瘀
A,未经批准擅自开办医疗机构行医的，承担以下法律责任，除了,警告,没收其违法所得及其药品器械，并处10万元以下罚款,对医师吊销执业证书,给患者造成损害的，承担赔偿责任,构成犯罪的，追究刑事责任
A,《内经》提出带下病的病机是,任脉为病,督脉为病,两者都是,两者都不是,
A,患者，女，24岁。产后乳少，乳汁清稀，乳房柔软无胀感，面色少华，神疲乏力，食欲不振，时有心悸头晕，舌淡少苔，脉虚细治法是,补气养血，增液通络,疏肝解郁，通络下乳,利湿除痰，活络通乳,滋补阴液，养血下乳,滋补肝肾，精血双补
E,双肺满布哮鸣音的疾病是,支气管内膜结核,心源性哮喘,支气管肺炎,慢性支气管炎,支气管哮喘
D,治疗月经过多的方剂是,寿胎丸,理中汤,两者都是,两者都不是,
E,具有消食健胃、涩精止遗功效的药物是,银柴胡,麦芽,乌梅,莱菔子,鸡内金
C,带下量多，色黄，质粘腻，有臭气，胸闷口腻，治疗首选方剂是：,完带汤,五味消毒饮,止带方,内补丸,知柏地黄丸
A,肾-天癸-冲任-胞宫生殖轴的主导是,肾气,天癸,冲任,胞宫,以上都不对
B,某女，40岁，月经提前9-11天，甚则一月两行，至今年余。现症：月经提前而至，量少，色淡黯，质清稀，腰酸耳鸣，面色晦黯，舌质淡，苔白润，脉沉细。方选,归脾丸,归肾丸,两地汤,肾气丸,当归地黄汤
B,味苦，具有清热解毒、凉血消肿功效，煎剂易致恶心呕吐，用量不宜过大的是,苦参,穿心莲,谷精草,密蒙花,熊胆
E,根据《素问·至真要大论》，症见身转侧，背反张，体屈曲者，病多属于：,风,脾,湿,肝,热
D,咽喉漫肿、色淡红者的原因多为,肺胃积热,肾阴不足，虚火上炎,阳虚火浮,痰湿凝聚,气阴两虚，虚火上浮
A,据《素问·异法方宜论》，不同的治疗方法适宜不同地域和病情。东方之域，治宜,砭石,导引按蹻,微针,毒药,灸焫
A,血虚型月经过少最佳选方为,滋血汤,归肾丸,两者均是,二者均不是,
A,苏合香丸的功用是,芳香开窍，行气止痛,芳香开窍，定惊安神,芳香化浊，安神定惊,开窍定惊，辟秽化浊,开窍定惊，辟秽解毒
E,病势危重，汗热而黏如油，躁扰烦渴，脉细数疾属于,盗汗,战汗,亡阳之汗,自汗,亡阴之汗
D,下列各项，不属和法治疗范畴的是,透膜达原,调和肝脾,分消上下,消食和胃,调和营卫
B,硬皮病属于中医哪一类型的痹症：,风痹,寒痹,湿痹,热痹,历节
D,丁香具有的功效是,散寒止痛，降逆止呕，助阳止泻,温中止痛，补火助阳，降逆止呕,降逆止呕，补火助阳，纳气平喘,温中降逆，散寒止痛，温肾助阳,温胃降逆，温肾纳气，助阳止泻
B,巴戟天、淫羊藿与仙茅均具有的功效是,益气养血,补肾助阳,强筋健骨,活血祛瘀,温通经络
C,短时记忆的容量为,5+2个组块,6+2个组块,7+2个组块,8+2个组块,9+2个组块
A,"称""骨之余""的是",齿,筋,爪,发,皮
E,县级以上地方人民政府卫生行政主管部门具体负责突发事件的,预防为主,预防为主，常备不懈,统一领导，分级负责,统一领导，统一指挥,调查、控制和医疗救治
D,关于记忆概念的理解，错误的是,是一种很重要的心理过程，贯穿在人的各种心理活动之中,包括识记、保持、再认或回忆三个基本环节,保持过程体现了人脑对识记材料的主动加工,以前感知过的事物或场景重新呈现时能够识别出来，属于再现,直观的、形象的、有意义的材料比抽象的、枯燥的材料识记效果好
D,患者全身反复出现红斑鳞屑10余年，复发2个月。检查：全身散见暗红斑，上覆较厚灰白色鳞屑，肥厚浸润，舌暗红有瘀斑，脉细。其证候是,火毒炽盛证,血虚风燥证,血热内蕴证,气滞血瘀证,湿热蕴阻证
A,"""热者寒之""属于",正治法,反治法,治标法,从治法,治本法
C,X线平片肾结石不显影的是,磷酸钙结石,草酸钙结石,尿酸盐结石,磷酸镁胺结石,胱氨酸结石
B,里热证常见,发热恶寒,但热不寒,发热恶风,寒热往来,但寒不热
B,附子、干姜共同主治病证是,元气暴脱，大汗淋漓,亡阳欲脱，四肢厥冷,神志昏迷，不省人事,气虚不足，倦怠乏力,肾阳不足，畏寒肢冷
D,女子胞的功能与下述哪脏关系较不密切,肝,心,脾,肺,肾
E,患者，男，36岁，腹胀，食欲减退，胸脘痞满，恶心呕吐，身目发黄，头重身困，大便溏薄，舌苔腻微黄，脉濡缓，宜选,泽泻配木通,瞿麦配萹蓄,木通配车前子,茯苓配猪苓,茯苓配滑石
D,麻黄根与浮小麦共同的功效是,止泻,止咳,止遗,止汗,止血
C,患者女，面部皮肤油腻，起红色丘疹、脓疱，有肿痛，伴口臭、便秘、溲黄，舌红，苔黄腻，脉滑数。本证脓疱较多者，应酌加：,生山楂、内金、枳实,贝母、穿山甲、皂刺,白花蛇舌草、野菊花,三棱、莪术、夏枯草,益母草、泽兰
C,《温热经纬》清暑益气汤的功用是,清暑益气，除湿健脾,祛暑解表，清热化湿,清暑益气，养阴生津,清暑益气，和胃止呕,清暑利湿，和胃止呕
C,眼球突出，兼喘满上气者属于,水肿,吐泻伤津,痰浊阻肺,肝郁化火,风热邪毒上攻
A,乌梅丸中用来安蛔的药物是,乌梅,细辛,附子,干姜,黄连
D,患者皮肤可见紫色扁平丘疹，伴性急易怒，胁肋胀痛，经前乳胀。舌红，苔白，脉弦。其证候是,火毒炽盛证,血虚风燥证,湿热蕴肤证,肝郁气滞证,风盛血瘀证
D,龙骨与磁石的相同功效是,清热解毒,收敛止汗,聪耳明目,平肝潜阳,活血散瘀
E,患者下肢伸侧出现暗红色疼痛性皮下结节，反复不愈，伴关节痛，遇寒加重，肢冷沉重，口不渴，便不干，舌淡，苔白，脉沉缓。其诊断是,肌痹,红蝴蝶疮,皮痹,猫眼疮,瓜藤缠
C,西洋参的功效是,补气，生津，宁心,补脾肺气，补血，生津,补气养阴，清热生津,补气，生津，止汗,补气，生津，安胎
A,除哪项外，均可用于神经性皮炎的治疗：,激光疗法,皮质类固醇激素硬膏,皮质类固醇霜剂,静脉封闭疗法,黑豆馏油外用
C,一患者近来饮食减少，食后胃脘不舒，倦怠乏力，大便溏薄，面色萎黄，脉弱。辨证为脾气虚。该患者的舌象最可能的是,舌红苔黄,舌红苔白,舌淡苔薄,舌淡苔黄,舌干少苔
A,血疱的中医辨证多是,血热,风热,热毒,湿热,痰湿凝聚
D,少阴热化证的主要临床表现不包括,脉象细数,心烦失眠,口燥咽干,心悸气短,舌尖红赤
E,下列各项，属实证疼痛特点的是,久病疼痛,痛势较轻,疼痛喜按,时痛时止,疼痛拒按
B,体弱气虚、少气懒言者，多表现为,坐而喜仰,坐而喜俯,但坐不得卧，卧则气逆,俯卧伸足，掀去衣被,喜温思睡
C,与痰饮、瘀血、结石形成密切相关的是,寒凝,气虚,气滞,血热,湿热
A,奠定中国医学人道传统的文献是,《黄帝内经》,宋国宾《医业伦理学》,孙思邈《备急千金要方》,希波克拉底《希波克拉底誓言》,帕茨瓦尔《医学伦理学》
D,人参配莱菔子，莱菔子能消弱人参的补气功效，这种配伍关系属于的是,相须,相使,相畏,相恶,相杀
C,鸦胆子的用法用量是,3～10g，先煎,3～10g，煎服,0.5～2g，吞服,1～15粒，后下,10～30粒，吞服
E,下列各项，不属于冰片主治病证的是,闭证神昏,目赤肿痛,喉痹口疮,疮疡肿痛,血瘀经闭
C,王某，女，1周来全身不适，近几天发热，头眩，脘腹痞满，恶心欲吐，不思饮食，厌食油腻，神疲无力，皮肤发黄，小便黄如浓茶，大便灰白。舌红苔黄腻，脉数。本案黄疸，属于哪类证型,湿重于热,热重于湿,湿热并重,热盛里实,以上都不是
D,治疗肝郁脾虚所致的带下，宜选用的方剂是,小柴胡汤,逍遥散,易黄汤,完带汤,参苓白术散
C,大腹皮的功效是,理气健脾，燥湿化痰,疏肝理气，消积化滞,行气宽中，利水消肿,行气散结，散寒止痛,行气止痛，温肾散寒
D,红皮病发热口渴，皮疹为麻疹样，灼热瘙痒伴咽痛，舌红苔黄，脉数，应使用的方药是：,龙胆泻肝汤,犀角地黄汤,清瘟败毒饮,化斑解毒汤,凉血地黄汤
E,胸骨后痛常见于,胸膜炎,心脏神经官能症,肺梗死,自发性气胸,反流性食管炎
B,气腹时肝浊音界变化是,肝浊音界扩大,肝浊音界缩小或消失,肝浊音界不变,肝浊音界下移,肝浊音界上移
A,否认自己有病，不及时就医是病人角色的,角色行为缺如,角色行为冲突,角色行为减退,角色行为强化,角色行为异常
D,川芎茶调散的君药是,代赭石,怀牛膝,白芷,川芎,薄荷
C,天麻钩藤饮的功用是,凉肝息风，增液舒筋,镇肝息风，滋阴潜阳,平肝息风，清热活血,滋阴活血，息风止痉,凉肝息风，开窍醒神
E,病人呕吐黄绿苦水属于,寒呕,热呕,伤食,痰饮,肝胆郁热
C,动脉与长脉的主要不同点，在于,脉位的浮沉,脉力的大小,脉形的长短,脉率的快慢,脉律的齐否
E,《素问·平人气象论》指出虚里是,脾之大络,心之大络,肺之大络,肝之大络,胃之大络
A,具有活血化瘀，散结通络的方剂是,失笑散,少腹逐瘀汤,生化汤,复原活血汤,身痛逐瘀汤
B,长于治疗下焦血热所致出血的药物是,蒲黄,地榆,大蓟,侧柏叶,羊蹄
D,既能回阳温中，又能温肺化饮的药物是,肉桂,高良姜,丁香,干姜,附子
A,据《素问·生气通天论》，人体阴阳平衡的关键是,阳气固密于外,阴精充足,精神清静,阴气固守于内,传精神，服天气
A,《素问·痹论》认为行痹是因,风气胜,寒气胜,湿气胜,风、寒、湿三气均胜,风寒气胜
C,下列属于脾虚湿盛舌象的是,芒刺,短缩,齿痕,歪斜,老嫩
C,患者左胁肋部灼热刺痛2天，口苦咽干，心烦易怒，患处皮肤多处红斑，其上集簇疱疹，疱壁紧张，带状分布，伴大便干燥，小便黄，舌质红，苔黄，脉弦数。治疗应首选的方剂是,除湿胃苓汤,六味地黄丸,龙胆泻肝汤,血府逐瘀汤,银翘散
B,具有平肝息风、清热活血、补益肝肾功用的方剂是,镇肝息风汤,天麻钩藤饮,大定风珠,地黄饮子,羚角钩藤汤
B,湿热蕴脾证最少见的症状是,肢体困重,黄色晦暗,身热不扬,泛恶欲呕,脘腹痞胀
D,医德评价中内心信念方式的正确理解是,内心信念是人生下来就有的,"内心信念是自己""反思""的结果",内心信念是内心认识的变化，是看不见摸不着的,内心信念是发自内心的对医德义务的深刻认识和强烈的责任感,内心信念是医德评价中最普遍、最重要的一种方式
D,医务人员对医德义务和医德责任的自我认识和自我评价，指的是,审慎,保密,情感,良心,幸福
